# t MDEC_CT MIXS2 a state off enabled CA FEGv low band
0 c425 -78574 000 3 0 1 6920 1bff 39287 80590
1 c424 -103866 008 3 0 1 6921 1bff 51933 50679
2 c423 -116380 008 3 0 1 6923 1bff 58190 25075
3 c422 -118526 010 3 0 1 6924 1bff 59263 4299
4 c421 -112758 010 3 0 1 6926 1bff 56379 -11561
5 c420 -101410 018 3 0 1 6927 1bff 50705 -22744
6 c41f -86580 018 3 0 1 6929 1bff 43290 -29721
7 c41e -70060 020 3 0 1 6930 1bff 35030 -33107
8 c41d -53300 020 3 0 1 6932 1bff 26650 -33588
9 c41c -37404 028 3 0 1 6933 1bff 18702 -31857
10 c41b -23146 028 3 0 1 6935 1bff 11573 -28575
11 c41a -11004 030 3 0 1 6936 1bff 5502 -24334
12 c419 -1206 030 3 0 1 6938 1bff 603 -19636
13 c418 6222 038 3 0 1 6939 1bff -3111 -14888
14 c417 11410 038 3 0 1 6941 1bff -5705 -10398
15 c416 14594 040 3 0 1 6942 1bff -7297 -6381
16 c415 16074 040 3 0 1 6944 1bff -8037 -2969
17 c414 16184 048 3 0 1 6945 1bff -8092 -224
18 c413 15260 048 3 0 1 6947 1bff -7630 1850
19 c412 13616 050 3 0 1 6948 1bff -6808 3292
20 c411 11534 050 3 0 1 6950 1bff -5767 4169
21 c410 9254 058 3 0 1 6951 1bff -4627 4567
22 c40f 6966 058 3 0 1 6953 1bff -3483 4581
23 c40e 4816 060 3 0 1 6954 1bff -2408 4306
24 c40d 2902 060 3 0 1 6956 1bff -1451 3832
25 c40c 1286 068 3 0 1 6957 1bff -643 3237
26 c40b -6 068 3 0 1 6959 1bff 3 2589
27 c40a -976 070 3 0 1 6960 1bff 488 1942
28 c409 -1644 070 3 0 1 6962 1bff 822 1335
29 c408 -2042 078 3 0 1 6963 1bff 1021 796
30 c407 -2214 078 3 0 1 6965 1bff 1107 342
31 c406 -2206 080 3 0 1 6966 1bff 1103 -20
32 c405 -2062 080 3 0 1 6968 1bff 1031 -291
33 c404 -1826 088 3 0 1 6969 1bff 913 -476
34 c403 -1534 088 3 0 1 6971 1bff 767 -586
35 c402 -1220 090 3 0 1 6972 1bff 610 -632
36 c401 -908 090 3 0 1 6974 1bff 454 -627
37 c400 -618 098 3 0 1 6975 1bff 309 -585
38 c3ff -362 098 3 0 1 6977 1bff 181 -517
39 c3fe -146 0a0 3 0 1 6978 1bff 73 -434
40 c3fd 24 0a0 3 0 1 6980 1bff -12 -344
41 c3fc 150 0a8 3 0 1 6981 1bff -75 -256
42 c3fb 236 0a8 3 0 1 6983 1bff -118 -174
43 c3fa 286 0b0 3 0 1 6984 1bff -143 -102
44 c3f9 306 0b0 3 0 1 6986 1bff -153 -41
45 c3f8 302 0b8 3 0 1 6987 1bff -151 7
46 c3f7 280 0b8 3 0 1 6989 1bff -140 42
47 c3f6 246 0c0 3 0 1 6990 1bff -123 66
48 c3f5 206 0c0 3 0 1 6992 1bff -103 80
49 c3f4 162 0c8 3 0 1 6993 1bff -81 85
50 c3f3 120 0c8 3 0 1 6995 1bff -60 83
51 c3f2 80 0d0 3 0 1 6996 1bff -40 77
52 c3f1 46 0d0 3 0 1 6998 1bff -23 67
53 c3f0 18 0d8 3 0 1 6999 1bff -9 55
54 c3ef -4 0d8 3 0 1 7001 1bff 2 43
55 c3ee -20 0e0 3 0 1 7002 1bff 10 31
56 c3ed -30 0e0 3 0 1 7004 1bff 15 20
57 c3ec -36 0e8 3 0 1 7005 1bff 18 11
58 c3eb -38 0e8 3 0 1 7007 1bff 19 3
59 c3ea -38 0f0 3 0 1 7008 1bff 19 -3
60 c3e9 -36 0f0 3 0 1 7010 1bff 18 -8
61 c3e8 -32 0f8 3 0 1 7011 1bff 16 -11
62 c3e7 -26 0f8 3 0 1 7013 1bff 13 -13
63 c3e6 -20 100 3 0 1 7014 1bff 10 -14
64 c3e5 -14 100 3 0 1 7016 1bff 7 -14
65 c3e4 -8 108 3 0 1 7017 1bff 4 -13
66 c3e3 -4 108 3 0 1 7019 1bff 2 -12
67 c3e2 0 110 3 0 1 7020 1bff 0 -10
68 c3e1 2 110 3 0 1 7022 1bff -1 -8
69 c3e0 4 118 3 0 1 7023 1bff -2 -6
70 c3df 6 118 3 0 1 7025 1bff -3 -5
71 c3de 6 120 3 0 1 7026 1bff -3 -4
72 c3dd 6 120 3 0 1 7028 1bff -3 -3
73 c3dc 6 128 3 0 1 7029 1bff -3 -2
74 c3db 6 128 3 0 1 7031 1bff -3 -1
75 c3da 6 130 3 0 1 7032 1bff -3 -1
76 c3d9 6 130 3 0 1 7034 1bff -3 -1
77 c3d8 6 138 3 0 1 7035 1bff -3 -1
78 c3d7 6 138 3 0 1 7037 1bff -3 -1
79 c3d6 6 140 3 0 1 7038 1bff -3 -1
80 c3d5 6 140 3 0 1 7040 1bff -3 -1
81 c3d4 6 148 3 0 1 7041 1bff -3 -1
82 c3d3 6 148 3 0 1 7043 1bff -3 -1
83 c3d2 6 150 3 0 1 7044 1bff -3 -1
84 c3d1 6 150 3 0 1 7046 1bff -3 -1
85 c3d0 6 158 3 0 1 7047 1bff -3 -1
86 c3cf 6 158 3 0 1 7049 1bff -3 -1
87 c3ce 6 160 3 0 1 7050 1bff -3 -1
88 c3cd 6 160 3 0 1 7052 1bff -3 -1
89 c3cc 6 168 3 0 1 7053 1bff -3 -1
90 c3cb 6 168 3 0 1 7055 1bff -3 -1
91 c3ca 6 170 3 0 1 7056 1bff -3 -1
92 c3c9 6 170 3 0 1 7058 1bff -3 -1
93 c3c8 6 178 3 0 1 7059 1bff -3 -1
94 c3c7 6 178 3 0 1 7061 1bff -3 -1
95 c3c6 6 180 3 0 1 7062 1bff -3 -1
96 c3c5 6 180 3 0 1 7064 1bff -3 -1
97 c3c4 6 188 3 0 1 7065 1bff -3 -1
98 c3c3 6 188 3 0 1 7067 1bff -3 -1
99 c3c2 6 190 3 0 1 7068 1bff -3 -1
100 c3c1 6 190 3 0 1 7070 1bff -3 -1
101 c3c0 6 198 3 0 1 7071 1bff -3 -1
102 c3bf 6 198 3 0 1 7073 1bff -3 -1
103 c3be 6 1a0 3 0 1 7074 1bff -3 -1
104 c3bd 6 1a0 3 0 1 7076 1bff -3 -1
105 c3bc 6 1a8 3 0 1 7077 1bff -3 -1
106 c3bb 6 1a8 3 0 1 7079 1bff -3 -1
107 c3ba 6 1b0 3 0 1 7080 1bff -3 -1
108 c3b9 6 1b0 3 0 1 7082 1bff -3 -1
109 c3b8 6 1b8 3 0 1 7083 1bff -3 -1
110 c3b7 6 1b8 3 0 1 7085 1bff -3 -1
111 c3b6 6 1c0 3 0 1 7086 1bff -3 -1
