feg_odd replay: n 11264 n_first 533 onset 139 (MDEC_CT 00d4 even) K 6491 key-off 6772; MIXS2 mismatches 140 (first 139, last 284: the console's inherited filter state, model starts from 0), MIXS3 mismatches 0 (first -1)
  t 11263 MDEC_CT d560 EVEN MIXS2 -108498 | AEG a 000 rel off 0 enabled 1 CA   303 | FEG v 1bff rel | low 54249 band 61771  <- capture end
  FEG of slot 2 (release from FLV3 0x1A00 toward FLV4 0x1C00 at R 45) reached its hold value 0x1BFF at capture sample 8409
after 4410 more samples (100.0 ms):
  t 15673 MDEC_CT c426 EVEN MIXS2  -38356 | AEG a 000 rel off 0 enabled 1 CA  6918 | FEG v 1bff rel | low 19178 band 80638  <- just before the quiet writes
quiet sequence (SA/LPCTL kept): reg 0x00 := KYONB cleared only, reg 0x14 := 0x1F on all slots, 0 samples, KYONEX; then 1000 samples:
  t     0 MDEC_CT c425 odd  MIXS2  -78574 | AEG a 000 rel off 0 enabled 1 CA  6920 | FEG v 1bff rel | low 39287 band 80590
  t    50 MDEC_CT c3f3 odd  MIXS2  -68810 | AEG a 0c8 rel off 0 enabled 1 CA  6995 | FEG v 1bff rel | low 34405 band -56498
  t   100 MDEC_CT c3c1 odd  MIXS2  -42244 | AEG a 190 rel off 0 enabled 1 CA  7070 | FEG v 1bff rel | low 21122 band 27109
  t   150 MDEC_CT c38f odd  MIXS2  -91828 | AEG a 258 rel off 0 enabled 1 CA  7145 | FEG v 1bff rel | low 45914 band -67956
  t   200 MDEC_CT c35d odd  MIXS2  -12778 | AEG a 320 rel off 0 enabled 1 CA  7220 | FEG v 1bff rel | low 6389 band 16124
  t   250 MDEC_CT c32b odd  MIXS2  -35714 | AEG a 3e8 rel off 0 enabled 1 CA  7295 | FEG v 1bff rel | low 17857 band -26717
  t   255 MDEC_CT c326 EVEN MIXS2   35452 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -17726 band -31969  <- slot 2 stops here
  t   255 MDEC_CT c326 EVEN MIXS2   35452 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -17726 band -31969
  t   256 MDEC_CT c325 odd  MIXS2   45216 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -22608 band -19570
  t   257 MDEC_CT c324 EVEN MIXS2   49730 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -24865 band -9047
  t   258 MDEC_CT c323 odd  MIXS2   50022 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -25011 band -586
  t   259 MDEC_CT c322 EVEN MIXS2   47126 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -23563 band 5800
  t   260 MDEC_CT c321 odd  MIXS2   42018 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -21009 band 10232
  t   261 MDEC_CT c320 EVEN MIXS2   35570 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -17785 band 12920
  t   262 MDEC_CT c31f odd  MIXS2   28516 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -14258 band 14133
  t   263 MDEC_CT c31e EVEN MIXS2   21448 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -10724 band 14163
  t   264 MDEC_CT c31d odd  MIXS2   14808 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -7404 band 13304
  t   265 MDEC_CT c31c EVEN MIXS2    8904 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -4452 band 11831
  t   266 MDEC_CT c31b odd  MIXS2    3918 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low -1959 band 9989
  t   267 MDEC_CT c31a EVEN MIXS2     -68 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low 34 band 7985
  t   268 MDEC_CT c319 odd  MIXS2   -3054 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low 1527 band 5983
  t   269 MDEC_CT c318 EVEN MIXS2   -5104 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low 2552 band 4108
  t   270 MDEC_CT c317 odd  MIXS2   -6326 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low 3163 band 2446
  t   271 MDEC_CT c316 EVEN MIXS2   -6848 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low 3424 band 1046
  t   272 MDEC_CT c315 odd  MIXS2   -6814 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low 3407 band -70
  t   273 MDEC_CT c314 EVEN MIXS2   -6364 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low 3182 band -903
  t   274 MDEC_CT c313 odd  MIXS2   -5630 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low 2815 band -1472
  t   275 MDEC_CT c312 EVEN MIXS2   -4728 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low 2364 band -1808
  t   276 MDEC_CT c311 odd  MIXS2   -3758 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low 1879 band -1947
  t   277 MDEC_CT c310 EVEN MIXS2   -2796 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low 1398 band -1931
  t   278 MDEC_CT c30f odd  MIXS2   -1900 | AEG a 3ff rel off 1 enabled 0 CA     0 | FEG v 1bff rel | low 950 band -1799
