# t MDEC_CT MIXS2 a state off enabled CA FEGv low band
0 c425 -78574 000 3 0 1 6920 1bff 39287 80590
1 c424 -78956 008 3 0 1 6921 1bff 39478 762
2 c423 -45454 008 3 0 1 6923 1bff 22727 -67139
3 c422 -46186 010 3 0 1 6924 1bff 23093 1463
4 c421 -53028 010 3 0 1 6926 1bff 26514 13708
5 c420 -50856 018 3 0 1 6927 1bff 25428 -4353
6 c41f -42432 018 3 0 1 6929 1bff 21216 -16882
7 c41e -58046 020 3 0 1 6930 1bff 29023 31286
8 c41d -68472 020 3 0 1 6932 1bff 34236 20889
9 c41c -69576 028 3 0 1 6933 1bff 34788 2212
10 c41b -56552 028 3 0 1 6935 1bff 28276 -26100
11 c41a -73766 030 3 0 1 6936 1bff 36883 34495
12 c419 -79640 030 3 0 1 6938 1bff 39820 11769
13 c418 -60952 038 3 0 1 6939 1bff 30476 -37451
14 c417 -41278 038 3 0 1 6941 1bff 20639 -39428
15 c416 -27422 040 3 0 1 6942 1bff 13711 -27768
16 c415 -10186 040 3 0 1 6944 1bff 5093 -34540
17 c414 -25366 048 3 0 1 6945 1bff 12683 30418
18 c413 -43780 048 3 0 1 6947 1bff 21890 36900
19 c412 -60008 050 3 0 1 6948 1bff 30004 32519
20 c411 -69364 050 3 0 1 6950 1bff 34682 18747
21 c410 -41560 058 3 0 1 6951 1bff 20780 -55719
22 c40f -16062 058 3 0 1 6953 1bff 8031 -51096
23 c40e -11670 060 3 0 1 6954 1bff 5835 -8803
24 c40d 13354 060 3 0 1 6956 1bff -6677 -50149
25 c40c 4636 068 3 0 1 6957 1bff -2318 17468
26 c40b -6474 068 3 0 1 6959 1bff 3237 22260
27 c40a -22566 070 3 0 1 6960 1bff 11283 32246
28 c409 -45274 070 3 0 1 6962 1bff 22637 45501
29 c408 -65780 078 3 0 1 6963 1bff 32890 41090
30 c407 -81304 078 3 0 1 6965 1bff 40652 31107
31 c406 -86948 080 3 0 1 6966 1bff 43474 11309
32 c405 -95974 080 3 0 1 6968 1bff 47987 18087
33 c404 -113504 088 3 0 1 6969 1bff 56752 35126
34 c403 -137492 088 3 0 1 6971 1bff 68746 48066
35 c402 -163270 090 3 0 1 6972 1bff 81635 51653
36 c401 -172402 090 3 0 1 6974 1bff 86201 18296
37 c400 -193384 098 3 0 1 6975 1bff 96692 42043
38 c3ff -182410 098 3 0 1 6977 1bff 91205 -21994
39 c3fe -165580 0a0 3 0 1 6978 1bff 82790 -33728
40 c3fd -131954 0a0 3 0 1 6980 1bff 65977 -67385
41 c3fc -120998 0a8 3 0 1 6981 1bff 60499 -21955
42 c3fb -120110 0a8 3 0 1 6983 1bff 60055 -1780
43 c3fa -132926 0b0 3 0 1 6984 1bff 66463 25681
44 c3f9 -132220 0b0 3 0 1 6986 1bff 66110 -1417
